channel,step,variable,label,row,background,mu,mu_err,sigma,sigma_err,fwhm,fwhm_err,resolution_pct,resolution_err_pct,chi2,ndf,prob,n_peak,n_hist,win_frac,res_exp,date
19,0,corrected,Corrected amplitude,native,pol0,3585.29,1.39789,10.0066,1.06114,23.5637,2.49878,0.6572,0.0697,41.295,39,0.3706,62.53,77,0.01785058,0.00251525,2026-08-19 00:01:43
19,0,corrected,Corrected amplitude,energy,pol0,2614.5,1.02498,7.28747,0.781429,17.1607,1.84012,0.6564,0.0704,40.673,39,0.3966,62.46,77,0.01785058,0.00251525,2026-08-19 00:01:43
19,1,alpha,Alpha stabilized,native,pol0,2382.93,0.704277,5.28169,0.514644,12.4374,1.21189,0.5219,0.0509,33.091,39,0.7355,64.45,75,0.01785058,0.00251525,2026-08-19 00:01:43
19,1,alpha,Alpha stabilized,energy,pol0,2614.56,0.768496,5.74721,0.562889,13.5337,1.3255,0.5176,0.0507,31.920,39,0.7821,64.42,75,0.01785058,0.00251525,2026-08-19 00:01:43
20,0,corrected,Corrected amplitude,native,pol0,3376.32,2.54992,14.6654,2.04219,34.5344,4.80898,1.0228,0.1424,66.740,49,0.0467,49.08,69,0.02742865,0.00311966,2026-08-19 00:02:08
20,0,corrected,Corrected amplitude,energy,pol0,2614.64,1.97331,11.4015,1.56611,26.8486,3.6879,1.0269,0.1411,63.718,49,0.0770,49.18,69,0.02742865,0.00311966,2026-08-19 00:02:08
20,1,alpha,Alpha stabilized,native,pol0,2396.34,1.87351,9.47538,1.75423,22.3128,4.1309,0.9311,0.1724,57.810,49,0.1819,48.02,69,0.02742865,0.00311966,2026-08-19 00:02:08
20,1,alpha,Alpha stabilized,energy,pol0,2614.57,2.04413,10.3383,1.91399,24.3448,4.5071,0.9311,0.1724,57.810,49,0.1819,48.02,69,0.02742865,0.00311966,2026-08-19 00:02:08
21,0,corrected,Corrected amplitude,native,pol0,5745.99,2.86043,14.3481,2.57392,33.7871,6.06113,0.5880,0.1055,35.544,44,0.8144,32.07,41,0.01872203,0.00232692,2026-08-19 00:02:39
21,0,corrected,Corrected amplitude,energy,pol0,2614.51,1.30154,6.52857,1.17117,15.3736,2.7579,0.5880,0.1055,35.544,44,0.8144,32.07,41,0.01872203,0.00232692,2026-08-19 00:02:39
21,1,alpha,Alpha stabilized,native,pol0,2408.72,0.727716,3.87986,0.515616,9.13638,1.21418,0.3793,0.0504,34.936,44,0.8339,31.96,41,0.01872203,0.00232692,2026-08-19 00:02:39
21,1,alpha,Alpha stabilized,energy,pol0,2614.48,0.773343,4.1037,0.552157,9.66348,1.30023,0.3696,0.0497,30.322,44,0.9419,31.93,41,0.01872203,0.00232692,2026-08-19 00:02:39
22,0,corrected,Corrected amplitude,native,pol0,2986.25,1.01045,5.65512,0.75363,13.3168,1.77466,0.4459,0.0594,24.925,28,0.6319,38.39,48,0.01037636,0.00195813,2026-08-19 00:03:06
22,0,corrected,Corrected amplitude,energy,pol0,2614.51,0.884666,4.95115,0.659816,11.6591,1.55375,0.4459,0.0594,24.925,28,0.6319,38.39,48,0.01037636,0.00195813,2026-08-19 00:03:06
22,1,alpha,Alpha stabilized,native,pol0,2410.16,0.562836,3.16793,0.470508,7.4599,1.10796,0.3095,0.0460,26.065,28,0.5695,39.10,48,0.01037636,0.00195813,2026-08-19 00:03:06
22,1,alpha,Alpha stabilized,energy,pol0,2614.55,0.608561,3.44022,0.501111,8.1011,1.18003,0.3098,0.0451,30.533,28,0.3382,39.13,48,0.01037636,0.00195813,2026-08-19 00:03:06
23,0,corrected,Corrected amplitude,native,pol0,6459.72,2.95143,18.9277,2.06394,44.5712,4.8602,0.6900,0.0752,11.326,14,0.6603,41.00,41,0.01406473,0.00236186,2026-08-19 01:59:09
23,0,corrected,Corrected amplitude,energy,pol0,2614.76,1.21084,7.76516,0.8461,18.2856,1.99241,0.6993,0.0762,8.599,14,0.8558,41.01,41,0.01406473,0.00236186,2026-08-19 01:59:09
23,1,alpha,Alpha stabilized,native,pol0,2351.46,0.609367,3.65253,0.444642,8.60104,1.04705,0.3658,0.0445,12.068,14,0.6009,38.12,41,0.01406473,0.00236186,2026-08-19 01:59:09
23,1,alpha,Alpha stabilized,energy,pol0,2614.17,0.677448,4.0606,0.494319,9.56198,1.16403,0.3658,0.0445,12.068,14,0.6009,38.12,41,0.01406473,0.00236186,2026-08-19 01:59:09
24,0,corrected,Corrected amplitude,native,pol0,3404.26,2.37994,13.305,2.02392,31.3308,4.76597,0.9203,0.1400,53.243,37,0.0408,41.95,58,0.02189223,0.00324088,2026-08-19 00:04:01
24,0,corrected,Corrected amplitude,energy,pol0,2614.52,1.82783,10.2184,1.5544,24.0625,3.66033,0.9203,0.1400,53.243,37,0.0408,41.95,58,0.02189223,0.00324088,2026-08-19 00:04:01
24,1,alpha,Alpha stabilized,native,pol0,2400.84,1.55819,8.75923,1.2615,20.6264,2.97061,0.8591,0.1237,52.845,37,0.0441,41.54,58,0.02189223,0.00324088,2026-08-19 00:04:01
24,1,alpha,Alpha stabilized,energy,pol0,2614.69,1.70721,9.5811,1.38624,22.5618,3.26435,0.8629,0.1248,51.203,37,0.0602,41.52,58,0.02189223,0.00324088,2026-08-19 00:04:01
25,0,corrected,Corrected amplitude,native,pol0,0.140036,9.69287e-05,0.000566351,7.88773e-05,0.00133365,0.000185742,0.9524,0.1326,29.433,34,0.6911,48.17,66,0.03212824,0.00340468,2026-08-19 00:04:33
25,0,corrected,Corrected amplitude,energy,pol0,2614.43,1.77194,10.4089,1.44739,24.5112,3.40835,0.9375,0.1304,29.609,34,0.6828,48.09,66,0.03212824,0.00340468,2026-08-19 00:04:33
25,1,alpha,Alpha stabilized,native,pol0,2425.98,1.13554,6.13571,1.16316,14.4485,2.73904,0.5956,0.1129,47.563,34,0.0612,47.84,67,0.03212824,0.00340468,2026-08-19 00:04:33
25,1,alpha,Alpha stabilized,energy,pol0,2614.45,1.17359,6.82366,1.11637,16.0685,2.62885,0.6146,0.1006,43.766,34,0.1218,48.66,66,0.03212824,0.00340468,2026-08-19 00:04:33
26,0,corrected,Corrected amplitude,native,pol0,8552.45,2.75535,13.4374,2.5766,31.6427,6.06742,0.3700,0.0709,92.452,66,0.0175,41.34,116,0.02383509,0.00273700,2026-08-19 00:04:57
26,0,corrected,Corrected amplitude,energy,pol0,2614.42,0.808316,3.98317,0.737066,9.37964,1.73566,0.3588,0.0664,82.390,66,0.0838,41.31,115,0.02383509,0.00273700,2026-08-19 00:04:57
26,1,alpha,Alpha stabilized,native,pol0,2387.76,0.661498,3.54806,0.655507,8.35505,1.5436,0.3499,0.0646,43.551,48,0.6555,47.75,114,0.02383509,0.00273700,2026-08-19 00:04:57
26,1,alpha,Alpha stabilized,energy,pol0,2614.4,0.697099,3.83471,0.644906,9.03006,1.51864,0.3454,0.0581,42.358,48,0.7024,48.45,114,0.02383509,0.00273700,2026-08-19 00:04:57
27,0,corrected,Corrected amplitude,native,pol0,7717.37,3.67188,13.69,3.3526,32.2376,7.89477,0.4177,0.1023,41.523,33,0.1467,29.54,50,0.01190783,0.00256807,2026-08-19 00:05:23
27,0,corrected,Corrected amplitude,energy,pol0,2614.68,1.20247,4.77853,1.05962,11.2526,2.49521,0.4304,0.0954,39.228,33,0.2107,30.47,50,0.01190783,0.00256807,2026-08-19 00:05:23
27,1,alpha,Alpha stabilized,native,pol0,2468.06,0.721219,3.26147,0.650969,7.68018,1.53291,0.3112,0.0621,33.573,33,0.4395,30.86,49,0.01190783,0.00256807,2026-08-19 00:05:23
27,1,alpha,Alpha stabilized,energy,pol0,2614.27,0.72798,3.20887,0.677536,7.55632,1.59547,0.2890,0.0610,36.998,33,0.2895,29.49,49,0.01190783,0.00256807,2026-08-19 00:05:23
28,0,corrected,Corrected amplitude,native,pol0,7858.85,12.1258,39.4202,9.08663,92.8275,21.3974,1.1812,0.2723,37.029,25,0.0574,27.33,58,0.03740485,0.00509967,2026-08-19 02:02:26
28,0,corrected,Corrected amplitude,energy,pol0,2613.72,3.72524,13.4482,2.7527,31.6681,6.48211,1.2116,0.2480,33.256,25,0.1248,27.80,58,0.03740485,0.00509967,2026-08-19 02:02:26
28,1,alpha,Alpha stabilized,native,pol0,2441.11,0.969347,3.73455,0.34423,8.79418,0.8106,0.3603,0.0332,43.876,40,0.3106,19.57,57,0.03740485,0.00509967,2026-08-19 02:02:26
28,1,alpha,Alpha stabilized,energy,pol0,2614.67,1.01172,3.9998,0.27218,9.41882,0.640934,0.3602,0.0245,45.300,40,0.2604,19.80,57,0.03740485,0.00509967,2026-08-19 02:02:26
29,0,corrected,Corrected amplitude,native,pol0,7741.08,3.95292,12.6984,2.79829,29.9024,6.58947,0.3863,0.0851,38.968,39,0.4713,16.98,52,0.02593840,0.00425245,2026-08-19 02:05:22
