channel,step,variable,label,row,background,mu,mu_err,sigma,sigma_err,fwhm,fwhm_err,resolution_pct,resolution_err_pct,chi2,ndf,prob,n_peak,n_hist,win_frac,res_exp,date
19,0,rough,Calibration rough,native,pol0,2579.97,1.49768,9.73374,1.01361,22.9212,2.38687,0.8884,0.0925,35.047,34,0.4182,60.16,68,nan,nan,2026-08-17 01:19:41
19,0,rough,Calibration rough,native,pol1,2582.77,1.39274,9.74487,6.10429,22.9474,14.3745,0.8885,0.5566,30.590,33,0.5877,60.60,67,nan,nan,2026-08-17 01:19:41
19,0,rough,Calibration rough,energy,pol0,2611.58,1.53182,9.8543,0.821604,23.2051,1.93473,0.8885,0.0741,35.289,34,0.4071,59.95,68,nan,nan,2026-08-17 01:19:41
19,0,rough,Calibration rough,energy,pol1,2614.71,1.41028,9.8657,5.00159,23.232,11.7778,0.8885,0.4504,27.950,33,0.7168,62.39,67,nan,nan,2026-08-17 01:19:41
19,1,heater,Heater stabilized,native,pol0,3585.6,1.41673,9.9578,1.11978,23.4488,2.63689,0.6540,0.0735,46.738,53,0.7151,62.91,76,nan,nan,2026-08-17 01:19:41
19,1,heater,Heater stabilized,native,pol1,3585.74,1.37329,9.64856,1.04548,22.7206,2.46191,0.6336,0.0687,48.008,52,0.6316,62.29,76,nan,nan,2026-08-17 01:19:41
19,1,heater,Heater stabilized,energy,pol0,2614.41,1.033,7.26064,0.816481,17.0975,1.92267,0.6540,0.0735,46.738,53,0.7151,62.91,76,nan,nan,2026-08-17 01:19:41
19,1,heater,Heater stabilized,energy,pol1,2614.52,1.00139,7.03516,0.762379,16.5665,1.79527,0.6336,0.0687,48.008,52,0.6316,62.29,76,nan,nan,2026-08-17 01:19:41
19,2,corrected,Corrected amplitude,native,pol0,3585.22,1.41228,10.1443,1.09138,23.8879,2.57001,0.6663,0.0717,40.444,53,0.8972,63.23,76,nan,nan,2026-08-17 01:19:41
19,2,corrected,Corrected amplitude,native,pol1,3585.5,1.38547,9.96822,1.02513,23.4734,2.414,0.6547,0.0673,35.938,52,0.9561,62.64,76,nan,nan,2026-08-17 01:19:41
19,2,corrected,Corrected amplitude,energy,pol0,2614.46,1.03246,7.27744,0.785346,17.1371,1.84935,0.6555,0.0707,43.677,53,0.8157,62.05,77,nan,nan,2026-08-17 01:19:41
19,2,corrected,Corrected amplitude,energy,pol1,2614.45,1.02025,7.28148,0.752875,17.1466,1.77289,0.6558,0.0678,43.878,52,0.7811,62.06,77,nan,nan,2026-08-17 01:19:41
19,3,stabilized,Thallium stabilized,native,pol0,2613.45,0.776479,5.80738,0.600905,13.6753,1.41502,0.5233,0.0541,31.194,34,0.6059,64.69,71,nan,nan,2026-08-17 01:19:41
19,3,stabilized,Thallium stabilized,native,pol1,2614.24,8.57557,7.05676,2.45404,16.6174,5.77882,0.6357,0.2211,35.031,33,0.3719,80.70,70,nan,nan,2026-08-17 01:19:41
19,3,stabilized,Thallium stabilized,energy,pol0,2613.72,0.776561,5.80799,0.600968,13.6768,1.41517,0.5233,0.0541,31.194,34,0.6059,64.69,71,nan,nan,2026-08-17 01:19:41
19,3,stabilized,Thallium stabilized,energy,pol1,2614.56,0.388604,7.1803,0.209114,16.9083,0.492426,0.6467,0.0188,34.202,33,0.4098,82.29,70,nan,nan,2026-08-17 01:19:41
20,0,rough,Calibration rough,native,pol0,2605.81,1.61961,12.3435,2.08213,29.0668,4.90304,1.1155,0.1882,51.220,42,0.1557,58.00,58,nan,nan,2026-08-17 01:19:59
20,0,rough,Calibration rough,native,pol1,2605.8,1.51518,12.3435,1.262,29.0668,2.97179,1.1155,0.1140,51.145,41,0.1331,58.50,58,nan,nan,2026-08-17 01:19:59
20,0,rough,Calibration rough,energy,pol0,2614.49,1.625,12.3846,2.08907,29.1636,4.91938,1.1155,0.1882,51.220,42,0.1557,58.00,58,nan,nan,2026-08-17 01:19:59
20,0,rough,Calibration rough,energy,pol1,2614.48,1.1523,12.3846,1.46932,29.1636,3.45998,1.1155,0.1323,51.145,41,0.1331,58.49,58,nan,nan,2026-08-17 01:19:59
20,1,heater,Heater stabilized,native,pol0,3375.8,2.52654,15.1659,1.91289,35.713,4.50451,1.0579,0.1334,75.087,65,0.1839,49.79,66,nan,nan,2026-08-17 01:19:59
20,1,heater,Heater stabilized,native,pol1,3377.02,2.47643,15.5743,2.37471,36.6747,5.59201,1.0860,0.1656,53.673,64,0.8179,51.20,66,nan,nan,2026-08-17 01:19:59
20,1,heater,Heater stabilized,energy,pol0,2613.44,1.9452,11.6337,1.50116,27.3953,3.53496,1.0482,0.1353,70.743,65,0.2920,49.71,66,nan,nan,2026-08-17 01:19:59
20,1,heater,Heater stabilized,energy,pol1,2614.62,1.95065,12.1992,8.10606,28.7269,19.0883,1.0987,0.7301,46.768,64,0.9480,51.52,66,nan,nan,2026-08-17 01:19:59
20,2,corrected,Corrected amplitude,native,pol0,3376.43,2.55099,14.2913,2.12832,33.6533,5.0118,0.9967,0.1484,81.756,65,0.0783,47.87,68,nan,nan,2026-08-17 01:19:59
20,2,corrected,Corrected amplitude,native,pol1,3378.14,2.666,13.289,2.78835,31.2932,6.56606,0.9263,0.1944,70.326,64,0.2742,45.49,68,nan,nan,2026-08-17 01:19:59
20,2,corrected,Corrected amplitude,energy,pol0,2612.89,1.91805,10.9412,1.57715,25.7646,3.71389,0.9861,0.1421,79.219,65,0.1105,47.92,68,nan,nan,2026-08-17 01:19:59
20,2,corrected,Corrected amplitude,energy,pol1,2613.89,1.59191,10.6231,1.18924,25.0155,2.80045,0.9570,0.1071,69.104,64,0.3091,46.83,68,nan,nan,2026-08-17 01:19:59
20,3,stabilized,Thallium stabilized,native,pol0,2614.3,1.22674,5.68887,1.28244,13.3963,3.01992,0.5124,0.1155,44.447,42,0.3690,37.09,60,nan,nan,2026-08-17 01:19:59
20,3,stabilized,Thallium stabilized,native,pol1,2614.73,1.12723,5.55467,1.05446,13.0802,2.48306,0.5003,0.0950,34.378,41,0.7580,36.65,60,nan,nan,2026-08-17 01:19:59
20,3,stabilized,Thallium stabilized,energy,pol0,2614.2,1.16019,5.59027,1.13498,13.1641,2.67268,0.5036,0.1022,42.717,42,0.4402,36.93,60,nan,nan,2026-08-17 01:19:59
20,3,stabilized,Thallium stabilized,energy,pol1,2614.44,1.00534,4.99523,0.922506,11.7629,2.17234,0.4499,0.0831,38.939,41,0.5626,35.85,60,nan,nan,2026-08-17 01:19:59
21,0,rough,Calibration rough,native,pol0,2617.96,0.858528,4.68998,0.610897,11.0441,1.43855,0.4219,0.0549,32.566,38,0.7185,34.19,42,nan,nan,2026-08-17 01:20:15
21,0,rough,Calibration rough,native,pol1,2618,0.856527,4.67187,0.61056,11.0014,1.43776,0.4202,0.0549,31.397,37,0.7287,34.17,42,nan,nan,2026-08-17 01:20:15
21,0,rough,Calibration rough,energy,pol0,2614.5,0.854542,4.66751,0.608066,10.9911,1.43189,0.4204,0.0548,31.677,38,0.7556,34.19,42,nan,nan,2026-08-17 01:20:15
21,0,rough,Calibration rough,energy,pol1,2614.56,0.86317,4.71437,0.614566,11.1015,1.44719,0.4246,0.0554,33.183,37,0.6487,34.18,42,nan,nan,2026-08-17 01:20:15
21,1,heater,Heater stabilized,native,pol0,5745.99,2.82436,14.4903,2.44865,34.1221,5.76612,0.5938,0.1004,53.564,59,0.6754,33.02,42,nan,nan,2026-08-17 01:20:15
21,1,heater,Heater stabilized,native,pol1,5746.43,2.84079,14.7882,2.43971,34.8236,5.74507,0.6060,0.1000,47.421,58,0.8380,33.38,42,nan,nan,2026-08-17 01:20:15
21,1,heater,Heater stabilized,energy,pol0,2614.28,1.29939,6.65883,1.1518,15.6803,2.71228,0.5998,0.1037,52.226,59,0.7215,33.08,42,nan,nan,2026-08-17 01:20:15
21,1,heater,Heater stabilized,energy,pol1,2614.7,1.28885,6.57368,1.04359,15.4798,2.45746,0.5920,0.0940,40.611,58,0.9598,33.12,42,nan,nan,2026-08-17 01:20:15
21,2,corrected,Corrected amplitude,native,pol0,5746.44,2.80064,14.324,2.4228,33.7303,5.70526,0.5870,0.0993,43.872,59,0.9293,32.95,42,nan,nan,2026-08-17 01:20:15
21,2,corrected,Corrected amplitude,native,pol1,5747.01,2.79429,14.6261,2.27146,34.4419,5.34887,0.5993,0.0931,41.011,58,0.9555,33.32,42,nan,nan,2026-08-17 01:20:15
21,2,corrected,Corrected amplitude,energy,pol0,2614.3,1.27635,6.58196,1.09759,15.4993,2.58462,0.5929,0.0989,40.905,59,0.9650,33.10,42,nan,nan,2026-08-17 01:20:15
21,2,corrected,Corrected amplitude,energy,pol1,2614.55,1.27542,6.67696,1.03692,15.723,2.44176,0.6014,0.0934,37.984,58,0.9806,33.36,42,nan,nan,2026-08-17 01:20:15
21,3,stabilized,Thallium stabilized,native,pol0,2614.85,0.830977,4.20164,0.637002,9.89412,1.50003,0.3784,0.0574,31.089,38,0.7790,31.82,40,nan,nan,2026-08-17 01:20:15
21,3,stabilized,Thallium stabilized,native,pol1,2614.8,0.843995,4.30137,0.637495,10.129,1.50119,0.3874,0.0574,31.396,37,0.7287,31.92,40,nan,nan,2026-08-17 01:20:15
21,3,stabilized,Thallium stabilized,energy,pol0,2614.46,0.84497,4.28314,0.639969,10.086,1.50701,0.3858,0.0576,31.727,38,0.7536,31.86,40,nan,nan,2026-08-17 01:20:15
21,3,stabilized,Thallium stabilized,energy,pol1,2614.57,0.84392,4.30099,0.637438,10.1281,1.50105,0.3874,0.0574,31.396,37,0.7287,31.92,40,nan,nan,2026-08-17 01:20:15
22,0,rough,Calibration rough,native,pol0,2621,0.694157,4.13134,0.521837,9.72857,1.22883,0.3712,0.0469,27.103,38,0.9059,41.84,51,nan,nan,2026-08-17 01:20:32
22,0,rough,Calibration rough,native,pol1,2621.01,0.668971,4.0032,0.493407,9.42681,1.16189,0.3597,0.0443,26.581,37,0.8977,41.82,51,nan,nan,2026-08-17 01:20:32
22,0,rough,Calibration rough,energy,pol0,2614.51,0.68558,4.08245,0.513705,9.61343,1.20968,0.3677,0.0463,27.050,38,0.9072,41.81,51,nan,nan,2026-08-17 01:20:32
22,0,rough,Calibration rough,energy,pol1,2614.54,0.672927,4.02489,0.496053,9.47789,1.16812,0.3625,0.0447,26.507,37,0.8996,41.82,51,nan,nan,2026-08-17 01:20:32
22,1,heater,Heater stabilized,native,pol0,2986.72,0.995259,5.67537,0.745416,13.3645,1.75532,0.4475,0.0588,51.628,60,0.7708,39.05,51,nan,nan,2026-08-17 01:20:32
22,1,heater,Heater stabilized,native,pol1,2986.81,0.998337,5.67799,0.741477,13.3707,1.74604,0.4477,0.0585,48.770,59,0.8264,38.91,51,nan,nan,2026-08-17 01:20:32
22,1,heater,Heater stabilized,energy,pol0,2614.43,0.86469,4.9287,0.64861,11.6062,1.52736,0.4439,0.0584,51.545,60,0.7733,39.04,51,nan,nan,2026-08-17 01:20:32
22,1,heater,Heater stabilized,energy,pol1,2614.38,0.875024,4.97485,0.649808,11.7149,1.53018,0.4481,0.0585,43.522,59,0.9345,38.91,51,nan,nan,2026-08-17 01:20:32
22,2,corrected,Corrected amplitude,native,pol0,2986.25,1.02964,5.87875,0.779335,13.8434,1.83519,0.4636,0.0615,55.071,60,0.6560,39.25,51,nan,nan,2026-08-17 01:20:32
22,2,corrected,Corrected amplitude,native,pol1,2986.39,1.02415,5.86615,0.762267,13.8137,1.795,0.4626,0.0601,51.944,59,0.7308,39.22,51,nan,nan,2026-08-17 01:20:32
22,2,corrected,Corrected amplitude,energy,pol0,2614.35,0.893174,5.09509,0.678494,11.998,1.59773,0.4589,0.0611,54.474,60,0.6770,39.23,51,nan,nan,2026-08-17 01:20:32
22,2,corrected,Corrected amplitude,energy,pol1,2614.47,0.889085,5.08783,0.663516,11.9809,1.56246,0.4583,0.0598,51.356,59,0.7500,39.21,51,nan,nan,2026-08-17 01:20:32
22,3,stabilized,Thallium stabilized,native,pol0,2615.19,0.593647,3.41321,0.459618,8.03751,1.08232,0.3073,0.0414,36.339,38,0.5464,39.29,48,nan,nan,2026-08-17 01:20:32
22,3,stabilized,Thallium stabilized,native,pol1,2615.22,0.590782,3.41718,0.45022,8.04685,1.06019,0.3077,0.0405,36.022,37,0.5147,39.35,48,nan,nan,2026-08-17 01:20:32
22,3,stabilized,Thallium stabilized,energy,pol0,2614.59,0.593511,3.41243,0.459512,8.03566,1.08207,0.3073,0.0414,36.339,38,0.5464,39.29,48,nan,nan,2026-08-17 01:20:32
22,3,stabilized,Thallium stabilized,energy,pol1,2614.64,0.590651,3.41643,0.450119,8.04507,1.05995,0.3077,0.0405,36.022,37,0.5147,39.35,48,nan,nan,2026-08-17 01:20:32
23,0,rough,Calibration rough,native,pol0,2583.85,0.903998,9.19746,0.557206,21.6584,1.31212,0.8382,0.0508,33.425,33,0.4466,13.62,15,nan,nan,2026-08-17 01:20:48
