channel,win_scale_corrected,win_scale_alpha,bin_div_corrected,bin_div_alpha,sig_scale_corrected,sig_scale_alpha,peak_nsigma,sig_lo,sig_hi
26,1.5,1.5,4.0,3.0,1.0,1.0,4.0,0.1,1.5
27,1.0,1.0,4.0,4.0,1.0,1.0,6.0,0.3,1.5
57,1.0,1.0,4.0,3.0,1.0,1.0,6.0,0.3,1.5
58,1.0,1,4,4,1.0,1.0,4.0,0.3,1.5
60,1.5,1.0,2.0,3.0,1.0,1.0,6.0,0.3,1.5
19,1.5,1.5,3.0,3.0,1.0,1.0,6.0,0.3,1.5
20,1.5,1.5,3.0,3.0,1.0,1.0,6.0,0.3,1.5
21,1.5,1.5,3.0,3.0,1.0,1.0,6.0,0.3,1.5
22,1.0,1.0,3.0,3.0,1.0,1.0,6.0,0.3,1.5
23,1.0,1.0,1.5,1.5,1.0,1.0,8.0,0.3,1.5
24,1.0,1.0,3.0,3.0,1.0,1.0,6.0,0.3,1.5
25,1.5,1.5,2.0,2.0,1.0,1.0,6.0,0.3,1.5
28,1.0,1,2.0,2.0,1.0,1.0,4.0,0.3,1.5
29,1,1,4,4,1.0,1.0,3.0,0.3,1.5
49,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
50,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
51,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
52,1.5,1.5,2.5,3.0,1.0,1.0,5.0,0.3,1.5
54,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
55,1.0,1.0,3.0,3.0,1.0,1.0,6.0,0.3,1.5
56,0.5,0.5,4.0,4.0,1.0,1.0,5.0,0.3,1.5
59,1.0,1.0,2.0,2.0,1.0,1.0,6.0,0.3,1.5
61,1.5,1.5,3.0,3.0,1.0,1.0,6.0,0.3,1.5
62,1.5,1.5,3.0,3.0,1.0,1.0,6.0,0.3,1.5
63,1.0,1.0,4.0,4.0,1.0,1.0,6.0,0.3,1.5
64,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
65,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
85,1.0,1.0,3.0,3.0,1.0,1.0,6.0,0.3,1.5
86,1.0,1.0,4.0,4.0,1.0,1.0,6.0,0.3,1.5
87,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
88,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
89,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
90,1.0,1.0,3.0,3.0,1.0,1.0,6.0,0.3,1.5
53,1.5,1.5,4.0,4.0,1.0,1.0,6.0,0.3,1.5
66,1.5,1.5,4.0,4.0,1.0,1.0,3.0,0.1,1.5
