channel,win_scale_rough,win_scale_heater,win_scale_corrected,win_scale_stabilized,bin_div_rough,bin_div_heater,bin_div_corrected,bin_div_stabilized,sig_scale_rough,sig_scale_heater,sig_scale_corrected,sig_scale_stabilized,peak_nsigma,sig_lo,sig_hi
57,1.0,1.5,1.5,1,3.5,3.5,3,7,1.0,1.0,1.0,1.0,7.0,0.3,1.5
26,1.0,1.5,1.5,1.0,3,3,3,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
27,3,1.5,1.5,1.0,1.5,3.5,3,6,1.0,1.0,1.0,1.0,3.0,0.3,1.5
58,1,0.7,1,1,2.5,3,3,2.5,1.0,1.0,1.0,1.0,5.0,0.3,1.5
25,1.0,1.5,1.5,1.0,3,2,2,3,1.0,1.0,1.0,1.0,6.0,0.3,1.5
28,1.0,1,1,0.7,2,3,2,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
29,0.7,0.7,0.7,0.7,3,3,3,3,1.0,1.0,1.0,1.0,6.0,0.3,1.5
30,1.0,1,1,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
55,1.0,1,1,1.0,3,4,3,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
56,0.7,0.7,0.7,0.7,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
59,1.0,1,1,0.6,3,4,4,6,1.0,1.0,1.0,1.0,6.0,0.3,1.5
60,2,1.5,1.5,1.0,0.5,2,2,3,4.5,1.0,1.0,1.0,8.0,0.3,1.5
19,1.8,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
20,1.0,1.5,1.5,1.0,3,3,3,3.5,1.0,1.0,1.0,1.0,6.0,0.3,1.5
21,1.0,1.5,1.5,1.0,3,3,3,3,1.0,1.0,1.0,1.0,6.0,0.3,1.5
22,1.0,1,1,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
23,2,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,7.0,0.3,1.5
24,1.0,1,1,1.0,3,3,3,3,1.0,1.0,1.0,1.0,6.0,0.3,1.5
49,2,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
50,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
51,2.5,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
52,2,1.5,1.5,1.0,3,3,3,3,1.0,1.0,1.0,1.0,6.0,0.3,1.5
54,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
61,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
62,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
63,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
64,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
65,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
85,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
86,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
87,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
88,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
89,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
90,1.0,1.5,1.5,1.0,4,4,4,4,1.0,1.0,1.0,1.0,6.0,0.3,1.5
