Channel,LY_MIN_LD1,LY_MAX_LD1,LY_MIN_LD2,LY_MAX_LD2,NLL_LEFT_N_SIGMA_LD1,NLL_RIGHT_N_SIGMA_LD1,NLL_LEFT_N_SIGMA_LD2,NLL_RIGHT_N_SIGMA_LD2
25,-0.0002,0.01,-0.0002,0.01,1.5,2.5,1.5,2.5
26,-0.001,0.002,-0.0005,0.01,1.5,2.5,1,2.5
27,-0.0005,0.01,-0.0002,0.01,2.0,2.5,1.5,2.5
28,-0.0002,0.01,-0.0002,0.01,1.5,2.5,1.5,2.5
29,-0.0002,0.01,-0.001,0.01,1.5,2.5,1.5,2.5
30,0.0001,0.01,-0.0001,0.01,1.5,2.5,1.5,2.5
55,-0.0002,0.01,-0.001,0.01,1.5,2.5,1.5,2.5
56,-0.0005,0.01,-0.0002,0.01,2.0,2.5,1.5,2.5
57,-0.0001,0.01,-0.0003,0.01,1,2.5,1,2.5
58,-0.0001,0.01,-0.002,0.01,1.5,2.5,1.5,2.5
59,-0.002,0.01,-0.0002,0.01,2.0,2.5,1.5,2.5
60,-0.0002,0.01,0.0007,0.01,2.0,2.5,1.5,2.5
